nepali_date,english_date,day,specialday,holiday,event
9/26/2072,1/10/2016,sun,FALSE,FALSE,no event
9/27/2072,1/11/2016,mon,FALSE,FALSE,no event
9/28/2072,1/12/2016,tue,FALSE,FALSE,no event
9/29/2072,1/13/2016,wed,FALSE,FALSE,no event
9/30/2072,1/14/2016,thu,FALSE,FALSE,no event
10/1/2072,1/15/2016,fri,FALSE,TRUE,maghe sakranti
10/2/2072,1/16/2016,sat,FALSE,TRUE,no event
10/3/2072,1/17/2016,sun,FALSE,FALSE,no event
10/4/2072,1/18/2016,mon,FALSE,FALSE,no event
10/5/2072,1/19/2016,tue,FALSE,FALSE,no event
10/6/2072,1/20/2016,wed,FALSE,FALSE,no event
10/7/2072,1/21/2016,thu,FALSE,FALSE,no event
10/8/2072,1/22/2016,fri,FALSE,FALSE,no event
10/9/2072,1/23/2016,sat,FALSE,TRUE,no event
10/10/2072,1/24/2016,sun,FALSE,FALSE,no event
10/11/2072,1/25/2016,mon,FALSE,FALSE,no event
10/12/2072,1/26/2016,tue,TRUE,FALSE,no event
10/13/2072,1/27/2016,wed,FALSE,FALSE,no event
10/14/2072,1/28/2016,thu,TRUE,FALSE,no event
10/15/2072,1/29/2016,fri,FALSE,FALSE,no event
10/16/2072,1/30/2016,sat,TRUE,TRUE,no event
10/17/2072,1/31/2016,sun,FALSE,FALSE,no event
10/18/2072,2/1/2016,mon,FALSE,FALSE,no event
10/19/2072,2/2/2016,tue,TRUE,FALSE,no event
10/20/2072,2/3/2016,wed,FALSE,FALSE,no event
10/21/2072,2/4/2016,thu,FALSE,FALSE,no event
10/22/2072,2/5/2016,fri,FALSE,FALSE,no event
10/23/2072,2/6/2016,sat,FALSE,TRUE,no event
10/24/2072,2/7/2016,sun,FALSE,FALSE,no event
10/25/2072,2/8/2016,mon,FALSE,FALSE,no event
10/26/2072,2/9/2016,tue,FALSE,TRUE,no event
10/27/2072,2/10/2016,wed,FALSE,FALSE,no event
10/28/2072,2/11/2016,thu,FALSE,FALSE,no event
10/29/2072,2/12/2016,fri,FALSE,FALSE,no event
11/30/2072,3/13/2016,sun,FALSE,FALSE,no event
11/1/2072,2/13/2016,sat,FALSE,TRUE,saraswati puja
11/2/2072,2/14/2016,sun,FALSE,FALSE,no event
11/3/2072,2/15/2016,mon,FALSE,FALSE,no event
11/4/2072,2/16/2016,tue,FALSE,FALSE,no event
11/5/2072,2/17/2016,wed,FALSE,FALSE,no event
11/6/2072,2/18/2016,thu,FALSE,FALSE,no event
11/7/2072,2/19/2016,fri,TRUE,FALSE,no event
11/8/2072,2/20/2016,sat,FALSE,TRUE,no event
11/9/2072,2/21/2016,sun,FALSE,FALSE,no event
11/10/2072,2/22/2016,mon,FALSE,FALSE,no event
11/11/2072,2/23/2016,tue,FALSE,FALSE,no event
11/12/2072,2/24/2016,wed,FALSE,FALSE,no event
11/13/2072,2/25/2016,thu,FALSE,FALSE,no event
11/14/2072,2/26/2016,fri,FALSE,FALSE,no event
11/15/2072,2/27/2016,sat,TRUE,TRUE,no event
11/16/2072,2/28/2016,sun,FALSE,FALSE,no event
11/17/2072,2/29/2016,mon,FALSE,FALSE,no event
11/18/2072,3/1/2016,tue,FALSE,FALSE,no event
